Site_Name,Stream_Name ,Date_Collected,Sample_Type,Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,Benzylbutyl_phthalate,Bis2ethylhexyl_Dioctylphthlate,Butylparaben,Diethyl_phthalateA,Dipropyl_phthalate,EthylparabenA,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,pH,NO3N,NH4N,PO4P,Chloride,Nitrite,Sulfate,Nitrate,Phosphate,11B,23Na,26Mg,27Al,31P,39K ,44Ca,45Sc ,48Ti,55Mn,56Fe ,59Co,60Ni,63Cu,64Zn,75As,78Se,88Sr,89Y,95Mo,111Cd,115In,121Sb,137Ba,140Ce,159Tb,208Pb,45Sc,28Si,45Sc ,31P.16O,59Co,32S.16O,49Ti,S_ppm
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,6302021,Grab,158-TVFF21,TVFF21-035/036,1000.3,0.945385588,1058.086788,NA,NA,NA,NA,NA,0.012,NA,NA,NA,0.0012,0,0.011,0.0015,0.0001,NA,NA,0.0003,NA,0.0002,NA,0.0001,NA,NA,NA,NA,NA,0.082,0,0,0,NA,NA,NA,0.003,NA,NA,0,NA,0.0001,NA,0,NA,NA,NA,0.0019,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,1.71,0.02,2.54,TVFF21-036,0.071,0.01,0.097,,,,,9.84,0.032,7.1,6.3127,0.0268,0.01748,6.84748,8.5687,0.00397,1.47391,3.18769,29.21721,106,0.00913,0.00091,0.02825,91,0.00104,0.00162,-0.00133,0.00001,0.00011,1.65199,96,0.00005,0,97,0.00053,0.30206,0.00257,99,0,100,0.25719,110,-6.39038,183,4.55273,0.00019,NA
Field Blank_6292021_6302021,All_Sites ,6302021,Grab,159-TVFF21,Field Blank_6292021_6302021,1020.2,0.981036662,1039.920361,NA,0.0006,NA,NA,NA,0.0336,NA,NA,NA,0.0038,NA,0.0001,0,NA,NA,0,0.001,NA,0.0003,NA,NA,NA,0,NA,NA,NA,0.0741,NA,0,NA,0,NA,NA,NA,NA,NA,0.0001,NA,0.0001,NA,NA,NA,NA,NA,0.0039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,7152021,Grab,160-TVFF21,TVFF21-055/056,1009.2,1.165233881,866.092221,NA,0.0001,NA,NA,NA,0.0054,NA,NA,NA,0.0012,0,0.005,NA,0.0003,0.2039,NA,0.0006,NA,0.0003,NA,0.0001,0.2039,NA,NA,0,NA,0.0064,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,0.02,2.13,TVFF21-055,0.018,0.01,0.017,,,,,4.93,NA,9.066,8.9403,NA,0.00897,2.93703,4.30038,0.0022,1.69956,1.00439,28.54921,106,0.00882,0.00202,0.00289,90,0.00058,0.0006,-0.00119,0,0.00009,2.52564,94,0,0,96,0.00022,0.28407,0.00085,97,0,101,0.29387,112,-6.22275,180,4.2517,0.00016,NA
Upper_Spruce_Creek_Church ,Spruce_Creek,7152021,Grab,161-TVFF21,TVFF21-057/058,1002,1.014664981,987.5180663,NA,0.0026,NA,NA,NA,0.0683,NA,NA,NA,0.0009,0,0.0053,0.0009,0.0003,NA,0,0.0003,NA,0.0001,NA,0,NA,NA,NA,NA,NA,0.0032,0,0,0,0,0,NA,0.0114,NA,NA,0.0001,NA,0.0002,NA,NA,NA,NA,NA,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,0.02,3.61,TVFF21-057,0.026,0.01,0.03,,,,,10.59,0.01,9.617,14.5494,NA,0.01012,5.09815,13.93782,0.00135,1.6809,1.55386,29.71268,108,0.00945,0.00086,0.00411,91,0.0005,0.0009,-0.00157,0,0.00008,1.47536,95,0.00002,0,97,0.00024,0.2168,0.00054,99,0,102,0.30074,111,-6.63981,184,4.60912,0.00016,NA
George_W_Harvey,Spruce_Creek,7152021,Grab,162-TVFF21,TVFF21-059/060,996.8,1.384070796,720.1943736,NA,0.0002,NA,NA,NA,0.0125,NA,NA,NA,0,0,0.0048,0.0003,0.0003,NA,NA,0.0003,NA,0.0001,0,NA,NA,0.0002,NA,0,NA,0.0321,NA,0,0,NA,0.0003,NA,NA,NA,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,0.02,3.56,TVFF21-059,0.027,0.01,0.03,,,,,9.15,NA,9.578,14.059,NA,0.00963,4.63525,14.1384,0.00147,1.41849,1.76546,28.30489,107,0.00884,0.00101,0.00662,91,0.00116,0.00085,-0.00114,0,0.00007,1.35747,95,0.00002,0,96,0.00025,0.22336,0.00073,98,0,101,0.24855,110,-6.23193,182,4.39589,0.00016,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,7152021,Grab,163-TVFF21,TVFF21-061/062,992.8,0.971554994,1021.867013,NA,0.0006,NA,NA,NA,0.0063,NA,NA,NA,0.0023,0.0001,0.0048,0.0002,0.0003,NA,0,0.0003,NA,0.0002,0,0.0001,NA,0.0047,0.0046,0.0012,NA,0.1198,NA,0.0001,0.0001,0,0.0005,NA,0.0003,0.0033,NA,0.0002,NA,0.0001,0.0018,NA,NA,NA,NA,0.0006,NA,NA,0,0.0002,NA,0,NA,NA,NA,NA,NA,NA,2.05,0.02,3.05,TVFF21-061,0.026,0.01,0.029,,,,,7.07,0.01,8.952,11.7685,NA,0.00784,3.73644,14.38916,0.001,1.57609,1.74322,26.32983,106,0.00814,0.00114,0.0079,91,0.00067,0.00049,-0.0017,0,0.00006,0.96674,95,0.00002,0,97,0.00021,0.24867,0.00056,97,0,102,0.27769,112,-5.5967,179,4.03281,0.00015,NA
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,7152021,Grab,164-TVFF21,TVFF21-063/064,1013,1.179393173,858.9162827,NA,NA,NA,NA,NA,0.0045,NA,NA,NA,0.0014,NA,0.0046,0.0002,0.0001,NA,NA,0.0003,NA,0,0,0.0001,NA,0.0012,0.0001,0.0003,NA,0.0344,NA,0,0,NA,0.0002,NA,0.0004,0.2396,NA,NA,NA,0.0002,0.0001,NA,NA,0,NA,0.0007,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,NA,1.73,0.02,2.56,TVFF21-063,0.023,0.01,0.025,,,,,6.16,0.013,8.257,9.4836,NA,0.00821,3.3158,13.3989,0.00085,1.59674,1.61772,24.9804,107,0.00788,0.00296,0.00816,91,0.00029,0.00054,-0.00159,0,0.00006,1.00259,95,0.00002,0,97,0.00019,0.25338,0.00044,98,0,100,0.2826,113,-5.36833,175,3.75005,0.00014,NA
Keith_Nelson,Warriors_Mark_Run ,7152021,Grab,165-TVFF21,TVFF21-065/066,989.7,0.884576485,1118.840504,NA,0.0005,NA,NA,NA,0.0028,NA,NA,NA,0.0012,0,0.0085,0,0,NA,NA,0.0002,NA,0.0013,NA,NA,NA,0.0004,NA,0.0001,NA,0.0649,0,0,0,NA,0.001,NA,0.002,0.2401,NA,0.0001,NA,0.0003,NA,0,NA,0.0001,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43,0.02,3.62,TVFF21-065,0.112,0.01,0.158,,,,,9.01,0.034,9.267,12.3938,0.016,0.01581,5.45625,10.02426,0.00319,1.92276,2.20861,30.6892,105,0.00965,0.01347,0.00985,88,0.00066,0.00091,-0.00161,0.00001,0.0001,1.76598,93,0.00005,0,95,0.00033,0.43071,0.00079,98,0,100,0.33447,114,-6.43946,181,4.41094,0.00017,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7152021,Grab,166-TVFF21,TVFF21-067/068,996.4,1.134513274,878.2620907,NA,NA,NA,NA,NA,0.0187,NA,NA,NA,0.001,0,0.0149,0.0044,0.0002,NA,NA,0.0002,NA,0.0002,NA,0.0001,NA,0.0002,NA,0,NA,0.0637,0,0,0,NA,0.0037,NA,0.0008,0.2401,NA,NA,NA,0.0002,NA,0,NA,0,NA,0.0019,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.02,2.82,TVFF21-067,0.045,0.01,0.058,,,,,11.96,0.019,8.454,6.7968,0.0172,0.01908,8.64244,9.93544,0.00312,1.7926,2.49828,34.27555,109,0.01062,0.00172,0.00742,91,0.00474,0.00228,-0.00166,0.00001,0.00009,1.94869,97,0.00004,0,98,0.00041,0.25368,0.00062,97,0,100,0.33238,114,-7.43816,192,5.20532,0.00018,NA
Loville,Halfmoon_Creek ,7152021,Grab,167-TVFF21,TVFF21-069/070,988.9,1.015423515,973.8793571,NA,0.0002,NA,NA,NA,0.0028,NA,NA,NA,0.0009,NA,0.0062,NA,0.0003,NA,0,0.0003,NA,0.0012,NA,NA,NA,NA,NA,0,NA,0.0694,NA,0,0,0,NA,NA,0.0006,0.2401,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,0.02,4.03,TVFF21-069,0.036,0.01,0.044,,,,,11.53,0.04,10.476,15.6082,NA,0.01683,6.84215,10.70781,0.00389,1.67464,2.02212,32.0317,106,0.00982,0.00237,0.00608,89,0.00056,0.00076,-0.0018,0.00001,0.00007,1.96534,93,0.00005,0,96,0.00032,0.40204,0.00058,98,0,100,0.29641,111,-6.94332,186,4.93366,0.00017,NA
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,7152021,Grab,168-TVFF21,TVFF21-071/072,1024.8,1.286346397,796.6749877,NA,NA,NA,NA,NA,0.0226,NA,NA,NA,0.0009,0.0001,0.0122,0.0034,0.0002,NA,NA,0.0003,NA,0.0003,NA,NA,NA,0.0002,NA,0,NA,0.0147,0,0,NA,NA,0.0001,NA,0.0004,0,NA,0.0001,NA,0.0002,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,NA,NA,NA,1.87,0.02,2.77,TVFF21-071,0.048,0.01,0.062,,,,,14.05,0.027,10.387,9.5334,0.0161,0.01829,8.28784,9.95683,0.00336,1.75378,2.43503,33.22859,107,0.01032,0.00169,0.008,90,0.00079,0.00175,-0.00071,0.00001,0.00009,1.96247,95,0.00005,0,95,0.0004,0.28374,0.00073,98,0,103,0.30332,114,-7.13995,189,4.94379,0.00018,NA
Field Blank 7/15/21,All_Sites ,7152021,Grab,169-TVFF21,,977.3,1.32920354,735.2523301,NA,0,NA,NA,NA,0.0071,NA,NA,NA,0.0017,NA,0.0002,0,NA,NA,0,0.0047,NA,NA,NA,NA,NA,0.0001,NA,NA,NA,0.078,NA,0,NA,0,0,NA,NA,0.2401,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,NA,NA,NA,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,7302021,Grab,180-TVFF21,TVFF21-073/074,954.8,1.082427307,882.0915676,NA,0,NA,NA,NA,0.0036,0.0001,NA,NA,0.0029,0.0003,0.0024,0.0001,0.0002,NA,NA,0.0004,NA,0,0.0005,0.0015,NA,0.0029,0.0026,0.001,NA,0.0023,0,0,0.0002,NA,0.0001,NA,0.0005,0.0066,NA,0,NA,0.0001,NA,0.0001,NA,NA,NA,0.0016,NA,NA,0,0.0004,NA,0.0001,NA,NA,NA,NA,NA,NA,1.65,0.02,2.45,TVFF21-073,0.013,0.01,0.01,,,,,,,,,,0.5,3.489,6.197,0.5,0.5,0.83,21.363,1,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.861,NA,NA,NA,NA,NA,3.235
Upper_Spruce_Creek_Church ,Spruce_Creek,7302021,Grab,181-TVFF21,TVFF21-075/076,957.3,0.836662453,1144.189029,NA,0.0006,NA,NA,NA,0.009,NA,NA,NA,0.0018,NA,0.0043,0.0005,0,NA,NA,0.0004,NA,NA,0,0.0001,NA,0.0005,0.0002,0.0002,NA,0.0081,NA,0,0,NA,0.0001,NA,0.0007,0.0024,NA,0,NA,0.0004,0.0001,0,NA,NA,NA,0.0013,NA,NA,NA,0.0006,NA,0,NA,NA,NA,NA,NA,NA,2.63,0.02,3.93,TVFF21-075,0.013,0.01,0.01,,,,,,,,,,0.5,4.549,16.436,0.5,0.5,1.208,16.718,1.001,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.031,NA,NA,NA,NA,NA,2.957
George_W_Harvey,Spruce_Creek,7302021,Grab,182-TVFF21,TVFF21-077/078,989.7,1.266750948,781.2901199,NA,0.0002,NA,NA,NA,0.0072,NA,NA,NA,0.0014,0.0001,0.0036,0.0002,0.0001,NA,NA,0.0004,NA,0,0,NA,NA,0.0003,NA,0.0001,NA,0.0447,NA,0,0,NA,0.0003,NA,0.0011,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0005,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,2.55,0.02,3.81,TVFF21-077,0.016,0.01,0.014,,,,,,,,,,0.5,4.482,18.461,0.5,0.5,1.327,15.4,1.001,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.117,NA,NA,NA,NA,NA,3.352
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,7302021,Grab,183-TVFF21,TVFF21-079/080,955.3,0.891782554,1071.225262,NA,0.0004,NA,NA,NA,0.0092,NA,NA,NA,0.0016,0.0001,0.0032,0.0001,0.0007,NA,NA,0.0004,NA,0,NA,NA,NA,NA,NA,0,NA,0.0308,NA,0,0,NA,0.0011,NA,NA,0.2393,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.001,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,NA,1.92,0.02,2.86,TVFF21-079,0.017,0.01,0.015,,,,,,,,,,0.5,3.548,17.9,0.5,0.5,1.4,15.495,1,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.423,NA,NA,NA,NA,NA,3.181
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,7302021,Grab,184-TVFF21,TVFF21-081/082,944.2,0.863843236,1093.022392,NA,0.0004,NA,NA,NA,0.0054,NA,NA,NA,0.0014,NA,0.003,0.0001,0.0003,NA,NA,0.0003,NA,0,NA,NA,NA,0.0001,NA,0.0001,NA,0.0446,NA,0,0,NA,0.0004,NA,0.0003,0.2401,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0009,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.02,2.23,TVFF21-081,0.015,0.01,0.012,,,,,,,,,,0.5,2.203,14.823,0.5,0.5,1.259,14.239,1.001,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.09,NA,NA,NA,NA,NA,2.591
Keith_Nelson,Warriors_Mark_Run ,7302021,Grab,185-TVFF21,TVFF21-083/084,946.6,0.963337547,982.6254597,NA,0.0003,NA,NA,NA,0.0038,NA,NA,NA,0.001,0,0.0072,NA,0.0001,NA,NA,0.0004,NA,0.0006,NA,NA,NA,NA,NA,0,NA,0.0378,0,0,0,NA,0.0001,NA,0.0006,0.24,NA,NA,NA,0.0004,0,0,NA,NA,NA,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26,0.02,3.36,TVFF21-083,0.031,0.01,0.037,,,,,,,,,,0.5,4.721,10.229,0.5,0.5,1.541,22.126,1,NA,0.5,0.026,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,1.912,NA,NA,NA,NA,NA,2.891
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,7302021,Grab,186-TVFF21,TVFF21-085/086,950.9,0.843994943,1126.665518,NA,0.0001,NA,NA,NA,0.0129,NA,NA,NA,0.001,NA,0.004,0.0024,0,NA,NA,0.0006,NA,0.0002,NA,NA,NA,0,NA,0,NA,NA,0,0,0,NA,0.0005,NA,0.0009,0.24,NA,NA,NA,0.0003,NA,NA,NA,0.0004,NA,0.0023,NA,NA,NA,0.0014,NA,0,NA,NA,NA,NA,NA,NA,1.78,0.02,2.65,TVFF21-085,0.053,0.01,0.069,,,,,,,,,,0.5,9.359,12.959,0.5,0.5,3.044,21.539,1,NA,0.5,0.026,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.122,NA,NA,NA,NA,NA,3.807
Loville,Halfmoon_Creek ,7302021,Grab,187-TVFF21,TVFF21-087/88,946.9,1.008723135,938.7114929,NA,0.0001,NA,NA,0.0216,0.0092,NA,NA,NA,0.0011,0.0001,0.0035,NA,0,NA,NA,0.0003,NA,0.0004,NA,NA,NA,0,0.0002,0,NA,0.052,NA,0,0,NA,0.0001,NA,0.0004,NA,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,0.02,4.11,TVFF21-087,0.038,0.01,0.047,,,,,,,,,,0.5,7.308,12.265,0.5,0.5,2.105,21.539,1.002,NA,0.5,0.026,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,1.441,NA,NA,NA,NA,NA,3.461
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,7302021,Grab,188-TVFF21,TVFF21-089/90,946,0.983817952,961.5600102,NA,0.0004,NA,NA,NA,0.009,NA,NA,NA,0.0012,NA,0.0043,0.0017,0,0.2042,NA,0.0005,NA,0.0001,NA,NA,0.2042,NA,NA,NA,NA,NA,NA,0,0,NA,0.0005,NA,0.0035,0.2401,NA,NA,NA,0.0003,NA,NA,NA,0.0001,NA,0.0024,NA,NA,NA,0.0017,NA,0,NA,NA,NA,NA,NA,NA,1.89,0.02,2.81,TVFF21-089,0.048,0.01,0.063,,,,,,,,,,0.5,8.647,12.384,0.5,0.5,2.784,22.159,0.999,NA,0.5,0.026,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,1.837,NA,NA,NA,NA,NA,3.675
Field Blank_7302021,All_Sites ,7302021,Grab,189-TVFF21,Field Blank_7302021,931.1,1.087989886,855.7983966,NA,0.0005,NA,NA,NA,0.0114,NA,NA,NA,0.0041,NA,0.0001,0,NA,NA,NA,0.0009,NA,NA,NA,NA,NA,0,NA,0.0001,NA,0.0285,NA,0,0,NA,NA,NA,NA,0.2401,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,0.0021,NA,NA,NA,0.0009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,8122021,Grab,190-TVFF21,TVFF21-0091,987.5,1.000379267,987.1256158,NA,0.0016,NA,NA,NA,0.0091,NA,NA,NA,0.0007,0,0.0021,NA,0.0004,NA,NA,0.0006,NA,0,NA,NA,NA,NA,NA,0,NA,0.0368,NA,0,NA,NA,0.0008,NA,0.0017,0.2401,NA,0,NA,0.0003,NA,NA,NA,0.0001,NA,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.02,2.38,TVFF21-0091,0.014,0.01,0.011,,,,,,,,,,0.5,2.59,4.621,0.5,0.5,0.601,23.269,0.998,NA,0.5,0.5,NA,0.5,0.5,NA,ND,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,1.826,NA,NA,NA,NA,NA,2.432
Upper_Spruce_Creek_Church ,Spruce_Creek,8122021,Grab,191-TVFF21,TVFF21-0092,980.9,0.961567636,1020.105049,NA,0.0003,NA,NA,NA,0.0086,NA,NA,NA,0.0015,NA,0.0037,0.0003,0.0005,NA,NA,0.0005,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0879,NA,0,0,NA,0,NA,0.0012,NA,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,0.02,3.98,TVFF21-0092,0.013,0.01,0.01,,,,,,,,,,0.5,4.602,19.216,0.5,0.5,1.245,22.583,1.001,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,ND,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.257,NA,NA,NA,NA,NA,3.206
George_W_Harvey,Spruce_Creek,8122021,Grab,192-TVFF21,TVFF21-0093,999,0.988242731,1010.88525,NA,0.0003,NA,NA,NA,0.008,NA,NA,NA,0.0011,0,0.0034,0.0002,0,NA,NA,0.0008,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0637,NA,0,0,NA,0.0004,NA,0.0005,NA,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,0.02,3.64,TVFF21-0093,0.021,0.01,0.021,,,,,,,,,,0.5,4.057,17.665,0.5,0.5,1.368,20.188,0.995,NA,0.5,0.5,NA,0.5,0.5,NA,.ND,ND,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,1.694,NA,NA,NA,NA,NA,3.115
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,8122021,Grab,193-TVFF21,TVFF21-0094,991.3,0.81517067,1216.064361,NA,0.0001,NA,NA,NA,0.011,NA,NA,NA,0,0,0.0024,0.0001,0,NA,NA,0.0005,NA,0,NA,NA,NA,0,NA,NA,NA,0.0402,NA,0.0001,0,NA,0.002,NA,NA,0.2401,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,0.02,2.6,TVFF21-0094,0.017,0.01,0.016,,,,,,,,,,0.5,2.687,15.575,0.5,0.5,1.257,15.794,1,NA,0.5,0.026,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,2.024,NA,NA,NA,NA,NA,2.635
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,8122021,Grab,194-TVFF21,TVFF21-0095,990.6,1.265613148,782.703626,NA,0.0008,NA,NA,NA,0.0143,NA,NA,NA,0.0012,0,0.0021,0.0001,0.0003,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0415,NA,0,0,NA,0.0025,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,0.02,1.91,TVFF21-0095,0.017,0.01,0.016,,,,,,,,,,0.5,2.057,16.245,0.5,0.5,1.454,20.675,0.998,NA,0.5,0.026,NA,0.5,0.5,NA,ND,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,2.712,NA,NA,NA,NA,NA,2.664
Keith_Nelson,Warriors_Mark_Run ,8122021,Grab,195-TVFF21,TVFF21-0096,1000.7,0.960556258,1041.792182,NA,0.0006,NA,NA,NA,0.006,NA,NA,NA,0.0013,0,0.0051,NA,0,NA,NA,0.0003,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,0.1067,NA,NA,NA,NA,0.0001,NA,0.0021,NA,NA,0,NA,0.0004,NA,0,NA,NA,NA,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.02,3.72,TVFF21-0096,0.032,0.01,0.038,,,,,,,,,,0.5,5.577,13.659,0.5,0.5,2.889,33.053,0.999,NA,0.5,0.026,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,3.318,NA,NA,NA,NA,NA,4.031
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,8122021,Grab,196-TVFF21,TVFF21-0097,995.7,0.928824273,1072.000408,NA,0.0008,NA,NA,NA,0.0245,0.0003,NA,NA,0.0018,NA,0.0028,0.0023,0.0001,NA,NA,0.0004,NA,0,0.0002,0.0006,NA,0.0028,0.0006,0.0005,NA,0.0725,NA,0.0001,0.0002,NA,0.0005,0.0002,0.0007,0.0043,NA,0,NA,0.0004,0.0004,0,NA,0.0002,NA,0.0033,NA,NA,0,0.0023,NA,0.0001,NA,NA,NA,NA,NA,NA,1.08,0.02,1.59,TVFF21-0097,0.044,0.01,0.056,,,,,,,,,,0.5,8.358,11.813,0.5,0.027,2.948,25.448,1,NA,0.5,0.027,NA,0.5,0.5,NA,0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,1.155,NA,NA,NA,NA,NA,3.642
Loville,Halfmoon_Creek ,8122021,Grab,197-TVFF21,TVFF21-0098,989.8,0.911757269,1085.595952,NA,0.0003,NA,NA,NA,0.0136,NA,NA,NA,0.0014,NA,0.0039,0,0,NA,NA,0.0003,NA,0.0002,NA,NA,NA,0.0005,NA,0.0001,NA,0.0305,NA,NA,0,NA,0.0002,NA,0.0029,0.2397,NA,NA,NA,0.0004,0.0001,NA,NA,NA,NA,0.0054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,0.02,3.75,TVFF21-0098,0.039,0.01,0.048,,,,,,,,,,0.5,9.564,15.46,0.5,0.5,2.575,30.109,1.002,NA,0.5,0.026,NA,0.5,0.5,NA,ND,ND,NA,NA,0.5,NA,NA,NA,NA,NA,NA,ND,NA,2.616,NA,NA,NA,NA,NA,4.686
